date,ETH,LTC,DASH,XRP,ETC,SC,XMR,XEM,BTC
2018-01-01,749.1421555815733,225.01671122532534,1011.5126756093031,1.950126441239765,29.523969734182398,0.02933330326297307,333.53230640508053,1.0193995666068074,13455.6436986115
2018-01-02,857.1603100905584,249.50753238597358,1108.4626776259051,2.071496490529717,31.921374978612583,0.029122246437529635,358.8530855511971,1.093780682947412,14137.012833752251
2018-01-03,900.165530894861,248.8255911385232,1125.0013323294236,2.5656364683519923,31.857891709187594,0.029733451608644684,376.6741771425322,1.4141409787808434,15016.89475184075
2018-01-04,953.9307523657684,235.75569300589672,1126.729680258072,2.9587865098954524,34.67917729528894,0.038043663813824,372.935943436384,1.8225292695810063,14860.806177275
2018-01-05,990.8954601826009,244.73011996557358,1121.107248298648,2.6401594262230703,33.579941748680845,0.045175954871584066,358.21962132341315,1.6407012868202864,15963.2349369555
2018-01-06,990.6498874140773,283.0793944199624,1135.5031269627282,2.6570456669899865,32.88711852830215,0.06094907418623335,371.16717102802914,1.592691149556969,16698.376489379
2018-01-07,1068.3329104389054,276.6139101096482,1191.4868719739964,2.7022157185081186,34.99632830118898,0.06155949787015032,403.39183824468967,1.7203827671444676,16415.866098706752
2018-01-08,1121.966996608145,254.55963089068652,1094.043218053169,2.405345622280906,34.20669289051146,0.051630465249486585,387.6579884168652,1.5745782238366817,15096.627265931751
2018-01-09,1215.0555381040685,249.8491864562791,1099.193977055206,2.2111227444477204,35.019934613529415,0.0512736963594867,420.97241444401226,1.5300839360302154,14776.281371609999
2018-01-10,1306.2191802230705,241.26784907612102,1068.4317615236153,1.8997691580474856,36.87212888215189,0.04633583312310941,395.64155766727254,1.372079119666876,14169.9795483515
2018-01-11,1199.0295158492147,231.48861904523855,1019.0597462422768,1.9040168846392767,33.51790266018221,0.04853509659523182,368.44813590970944,1.2880154205692613,13595.265152726
2018-01-12,1213.131517601975,232.14998436357098,1025.9581057517373,2.0078073428346888,33.893269060609114,0.059761843074406955,369.71602958689425,1.3188445004666394,13613.17609895375
2018-01-13,1363.9496361003844,248.09844223265122,1099.7197127890229,2.027362580580688,39.61006244151654,0.06427909259926087,414.9643954566285,1.4627064627031807,14284.24279983575
2018-01-14,1332.3161868861107,245.25424812744322,1026.081683750351,1.850675488061908,43.42344900600928,0.056448806605586814,400.42847239206674,1.3238199597430977,13634.977440963
2018-01-15,1319.7990241748487,238.54479914200076,992.2243157593289,1.781077797049321,41.86523927918336,0.055446425310897995,419.3848400701906,1.4044579531250463,13861.6063277245
2018-01-16,1077.478791505913,195.25468385989362,797.4909607624198,1.2539153063034367,32.18976519362384,0.038937804750177295,342.9664261131685,0.9760409724044444,11799.334772781
2018-01-17,932.1705245739753,170.76887521476633,722.3268800293747,1.1034431272598468,26.82417196266423,0.0378900730459314,289.07062953141116,0.8578944038816303,10525.0202905365
2018-01-18,1043.7453429726381,194.14829609248753,842.938728804709,1.5150325245934686,30.69051716880064,0.04870448125073845,329.12307114804406,1.086502337664578,11541.346267947501
2018-01-19,1047.2127888210814,194.30369885719875,842.2405679480751,1.592148281492123,31.87152434341183,0.04652306565332111,340.33914131856136,1.064733329283681,11515.610310228
2018-01-20,1112.796943755822,204.17867369661695,911.7472522966323,1.5558950136657368,33.780450375970204,0.047216287147034526,385.05505074569544,1.1506322640897386,12458.123257792751
2018-01-21,1076.7583747542562,194.35496164749858,845.2937483500555,1.4110305519907904,31.747653791968265,0.04446898537663218,355.49941776007927,1.068797240532229,11858.39610043525
2018-01-22,1000.2194089721273,180.11953861568176,771.5858685593989,1.2600643604357527,29.293013133799708,0.03733604661622868,317.907184564119,0.9737850525620458,10885.1447860725
2018-01-23,977.83741039052,176.20913568544495,754.5082453858939,1.315264600977428,28.473614355373034,0.037392256902991396,305.88323266113673,0.9451991128887968,10714.1137257855
2018-01-24,1014.534219729326,176.38437865145497,764.387641897903,1.3432372492368854,28.946839880588318,0.038800222528424716,312.62970664144467,0.943330410222326,11022.79049102975
2018-01-25,1061.4156480838722,180.43634337496567,798.2546046633084,1.3296779838833344,29.340808657690047,0.039376972115000734,315.5124457774564,0.9572327547956053,11282.8000329515
2018-01-26,1031.6688677681163,173.8435752746061,771.0735784397647,1.2050834669394408,27.907127154519344,0.03863076585135942,312.44345167665085,0.8577339536488279,10912.645720723
2018-01-27,1078.9578307364832,179.31280781937397,766.9159471041276,1.2069392293067467,29.088969922758753,0.03987089279344796,322.9966930014571,0.9624202794350645,11262.964065945751
2018-01-28,1187.7657397102298,187.55760362325117,783.6458783047141,1.2751211737413524,31.559887423160145,0.04457004648795551,326.7065655047716,0.9964423153622348,11606.782939571749
2018-01-29,1172.7868671598658,181.90289305974073,761.4321565201626,1.2747111208424324,30.990025276201795,0.04208634181333968,315.01974761043743,0.9324088740939364,11223.024483557248
2018-01-30,1098.2886808456774,169.01683576453027,712.8149531844041,1.1558869077500415,28.23525986291703,0.036467884872995834,284.53051873087514,0.823842671903588,10360.194566192
2018-01-31,1076.5869890431818,160.59148696617422,673.2402283069854,1.0857862015522406,27.067120182337028,0.033499034141088076,269.11483868524857,0.7532809516948531,9940.366213972724
2018-02-01,1060.8461558393733,145.8645602837501,621.8942233386631,0.9797225012498303,25.195558896482655,0.02870712062264717,246.3415066830591,0.6793098447339874,9201.0001995664
2018-02-02,897.2224496165844,123.89413365778499,533.8056209136606,0.8104696955485263,21.48552877978836,0.023526216493942813,221.59605658346646,0.5499041538764043,8462.66780357655
