Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN
2000-01-03,30.614885,10.008811,,,1.251975,,16.274672,15.5,,31.310091,6.20919,24.383778,16.085009,45.694443,19.956465,321.25,8.250207000000001,6.626022,16.208448,7.375
2000-01-04,29.398392,9.722847,,,1.213892,,14.909399,14.625,,30.06848,6.104424,22.434734,15.658176,42.203888,19.34827,300.0,8.147079,6.626022,15.851859,6.9375
2000-01-05,30.249941,9.704972,,,1.218653,,15.204173999999998,15.0,,30.392372,6.062515,21.895638,15.568307,39.585964,19.462307,283.5,8.191277000000001,6.7410570000000005,15.560111,7.28125
2000-01-06,32.682891999999995,10.044556,,,1.194851,,15.32829,16.0,,30.635298,6.0695,22.559143,15.882826,38.078693,20.754723,236.125,8.198630999999999,6.971127,15.268359,7.75
2000-01-07,33.331699,10.151793,,,1.228173,,16.072987,16.25,,31.229115000000004,6.467617,23.098242000000006,16.197338000000002,41.251915,22.199202,248.375,8.50066,6.8560940000000015,15.560111,8.25
2000-01-10,33.169502,10.080303,,,1.290058,,16.693563,17.5,,32.632656,6.348881,23.678804,15.231341,43.750839,20.83075,285.5,8.353335000000001,6.833086,15.754609,8.28125
2000-01-11,32.60181,9.937319,,,1.347182,,15.545491,17.25,,32.794616999999995,6.3558650000000005,23.595869,14.916828,43.155857,19.880451,278.4375,8.353335000000001,6.81008,15.787029,7.5
2000-01-12,32.682891999999995,9.788605,,,1.290058,,15.467919,18.125,,33.469398,6.3349129999999985,23.637335,14.669710999999998,42.283226,20.222555,254.0,8.117614999999999,6.8560940000000015,15.560111,7.40625
2000-01-13,32.682891999999995,9.6988,,,1.304339,,16.290188,18.875,,34.036213000000004,6.404756,24.839939,15.006685999999998,42.917873,20.070503,232.8125,8.102882000000001,6.948121,15.624938,8.71875
2000-01-14,32.216590999999994,9.914327,,,1.290058,,16.460844,20.1875,,35.95261400000001,6.28602,25.379034,15.433521,43.393848,19.690384,230.0,8.058686,6.81008,15.722199,8.65625
2000-01-18,31.506969,9.6988,,,1.294818,,15.886810999999998,19.5,,33.65834,6.28602,26.332823,14.377665,45.377117,18.740074,211.5,8.04395,6.672036,15.754609,8.265625
2000-01-19,32.054379,9.501231,,,1.275777,,15.66961,19.59375,,33.847279,6.258081,26.00107,13.523991,44.425148,18.778091,224.75,7.85243,6.695045,15.689775,8.53125
2000-01-20,30.858177,9.21386,,,1.204371,,15.840265,19.5,,33.550369,6.216173,25.9596,14.62478,43.235184,18.169888,234.0,7.660906,6.603016,15.689775,9.96875
2000-01-21,30.797356,8.962407,,,1.152007,,15.60755,18.9375,,34.549057,6.223159,24.549656,13.928362,43.63182800000001,17.599701,269.0,7.498849000000001,6.695045,15.624938,11.03125
2000-01-24,30.087738,8.621157,,,1.142487,,15.033514000000002,17.25,,34.549057,6.188236,24.508186,13.771101000000002,43.473183,18.359949,262.0625,7.101071000000001,6.5800100000000015,15.560111,11.765625
2000-01-25,29.641685,8.513387,,,1.1044040000000002,,15.638579,20.0,,32.821606,6.181252,23.678804,14.355196,42.957535,18.892122,279.3125,7.189466,6.3039260000000015,15.527692000000002,11.90625
2000-01-26,31.243397,8.531348,,,1.209132,,15.18866,18.5,,31.283089,6.1966730000000005,24.093496,15.074081,43.354183,19.158209,277.5,7.601976,6.533993,15.398022,12.15625
2000-01-27,31.22312,8.854645,,,1.309099,,15.561008,18.46875,,32.76762,6.007408,24.134966,14.804501,43.433514,18.778091,281.125,7.5135809999999985,6.649031,15.592529,11.890625
2000-01-28,29.92555,9.159976,,,1.247215,,14.288822,17.625,,32.983551,6.000399,23.844683,15.096544,43.195538,18.131882,270.0625,7.69037,6.487982,15.33319,11.8125
2000-01-31,30.371593,9.35754,,,1.19009,,13.668242,18.0,,34.603043,5.972361,22.973833,15.613243,42.005573,18.017839,249.125,7.5135809999999985,6.649031,15.300772,10.9375
2000-02-01,30.533779,9.447347,,,1.285297,,13.869931,18.28125,,34.872952000000005,6.350889,23.181177,15.927758,45.059795,18.626038,239.0625,7.484116,6.4649730000000005,15.430439000000002,11.09375
2000-02-02,30.006636,9.501231,,,1.32338,,15.21969,18.03125,,34.252151,6.210693,23.595869,15.950220000000002,48.55034600000001,18.473991,233.625,7.498849000000001,6.487982,15.462862,12.625
2000-02-03,29.743073,9.555113,,,1.337662,,17.143482000000002,19.5,,34.711009999999995,6.252753,24.300838,16.152403,49.343639,18.702065,245.375,7.336791000000002,6.487982,15.300772,14.0
2000-02-04,28.891521,9.896367,,,1.199611,,18.369123,19.28125,,32.497707,6.280792,25.17169,15.79297,48.39167800000001,18.778091,235.0,7.233663000000001,6.395954,15.33319,13.65625
2000-02-07,28.425207,9.716758,,,1.142487,,19.129333,20.65625,,34.549057,6.252753,25.254629,15.366118,50.454281,18.740074,228.625,7.1600009999999985,6.395954,15.268359,13.421875
2000-02-08,28.445486,9.806562,,,1.123445,,20.789383,20.6875,,36.465454,5.159221,24.922874,15.074081,50.136951,18.359949,240.9375,7.0863380000000005,6.3039260000000015,15.138692,12.859375
2000-02-09,28.425207,10.363341,,,1.10678,,21.735765,21.03125,,37.086254,4.766672,26.623106,14.849434,48.074356,17.409641,234.875,6.9684789999999985,6.211896,15.106277,12.96875
2000-02-10,27.898066,10.093931,,,1.099643,,22.651117000000006,21.25,,35.790657,4.514319,26.37429,14.82696,48.669323,17.067532999999994,229.0,7.027409,6.211896,15.171107999999998,13.90625
2000-02-11,26.904608000000003,9.770636,,,1.132966,,22.449432,22.75,,35.412781,4.486280000000002,26.581638,14.332735,47.836365,16.383316,233.0625,6.880084,5.889798000000001,15.106277,15.6875
2000-02-14,26.88434,10.075972,,,1.094883,,22.24774,21.625,,36.924305,4.374123,26.45723,14.040687,48.510674,17.447653,230.375,6.438107,6.050848,15.365611,15.625
2000-02-15,28.911812,10.093931,,,1.066321,,22.061565,21.75,,37.302193,4.486280000000002,26.084009,14.067698000000002,51.961555,17.63772,222.5,6.526504,6.211896,15.398022,18.75
2000-02-16,28.648232,9.968211,,,1.067509,,24.37322,21.875,,38.084927,4.640496,25.918131,13.955158,51.40625,17.029528,246.125,6.555967,5.981825,15.138692,22.0625
2000-02-17,29.074003,9.842484,,,1.068697,,25.211,21.5,,37.976974,4.521329,25.586382,13.617535,61.560574,17.333617999999998,252.0,6.688561,6.073854,15.203526,21.03125
2000-02-18,28.404936,9.375504,,,1.028238,,24.388735,21.5,,38.003963,4.339074,24.756999999999998,13.572516,59.497971,16.459339,241.6875,6.629632000000001,5.86679,15.462862,19.0
